ZIPCODE,OCCU_16_Year,OCCU_MBSAO,OCCU_SEV,OCCU_SA_OF,OCCU_NAT,OCCU_PRO,LESS_9TH,HIGH_GRAD,COLLE_NO_DEG,ACC_DEG,BACHE_DEG,GRAD_PRO,HIGH_GRAD_[0],BACH_HIGH,INDUS_CIVIL,INDUS_AGRI,INDUS_CONST,INDUS_MANU,INDUS_WHOLE_SALE,INDUS_RETAIL,INDUS_TRANS,INDUS_INFO,INDUS_FIN,INDUS_PROF,INDUS_EDU,INDUS_ARTS,INDUS_OTHER,INDUS_PUBLIC_ADMIN,zipcode,total_count
"ZCTA5 73949",714,301,69,104,127,113,83,320,159,22,280,37,818,317,714,175,52,60,17,73,34,0,14,17,169,36,33,34,NULL,NULL
"ZCTA5 73960",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL
"ZCTA5 75001",11749,6168,1276,3003,488,814,154,1370,2727,810,4875,2629,12411,7504,11749,71,579,754,533,1144,890,267,1640,2625,1727,991,334,194,"ZCTA5 75001",29
"ZCTA5 75002",36013,19799,4014,7547,1753,2900,1038,7041,9366,3849,16165,7942,44363,24107,36013,226,2064,3713,717,4385,1284,1329,3979,5942,7209,2413,1739,1013,"ZCTA5 75002",47
"ZCTA5 75006",27304,9667,4428,6079,3043,4087,3240,8072,6695,1826,7733,3192,27518,10925,27304,132,2729,2577,1033,2737,1978,718,2496,3610,4573,2344,1759,618,"ZCTA5 75006",16
"ZCTA5 75007",32491,14860,5041,7114,2132,3344,1870,7485,8672,3090,12001,5288,36536,17289,32491,175,2275,2705,860,4242,1567,476,3425,5313,5995,2769,1866,823,"ZCTA5 75007",33
"ZCTA5 75009",13433,6477,1931,3038,1404,583,608,2956,3742,1583,6690,2233,17204,8923,13433,166,1409,992,421,1629,427,242,1420,2399,2032,1186,594,516,"ZCTA5 75009",36
"ZCTA5 75010",19280,10024,1841,4917,950,1548,688,3164,4565,1848,8045,4012,21634,12057,19280,59,954,1743,496,2083,1023,540,2468,3465,4029,1263,955,202,"ZCTA5 75010",38
"ZCTA5 75013",25886,15607,3361,4538,863,1517,393,3112,5589,1663,10514,9018,29896,19532,25886,112,1119,2243,842,2441,844,964,3191,4935,4045,2978,1538,634,"ZCTA5 75013",34
"ZCTA5 75019",24985,16186,1882,5100,602,1215,462,2591,4071,1508,11443,9613,29226,21056,24985,180,952,1748,1076,2301,1476,657,3350,5190,4659,1752,995,649,"ZCTA5 75019",37
"ZCTA5 75020",10351,2790,1735,2969,1044,1813,402,5045,4617,1953,2151,1177,14943,3328,10351,212,958,1305,181,1674,553,81,932,757,1589,1120,588,401,"ZCTA5 75020",4
"ZCTA5 75021",4041,1036,853,800,751,601,207,2356,1571,623,754,273,5577,1027,4041,66,504,411,60,447,125,147,174,311,1018,340,280,158,"ZCTA5 75021",1
"ZCTA5 75022",13920,8588,1028,3024,446,834,383,1968,2228,845,7418,4417,16876,11835,13920,107,809,1058,416,1286,1063,414,1810,2797,2644,1020,367,129,"ZCTA5 75022",40
"ZCTA5 75023",27518,15452,3243,5703,1248,1872,1222,4634,6678,2651,12558,6000,32521,18558,27518,131,1375,1981,647,2956,1588,822,3244,4996,5379,2209,1630,560,"ZCTA5 75023",27
"ZCTA5 75024",24662,15884,2064,5501,322,891,430,3056,3786,1653,12290,8913,29698,21203,24662,112,675,1853,595,2518,989,722,3662,7121,3756,1602,743,314,"ZCTA5 75024",57
"ZCTA5 75025",28094,17465,2819,5795,773,1242,706,4695,4448,2067,12575,10914,34699,23489,28094,55,717,2191,1210,3176,1112,1384,3712,5739,4906,2271,1061,560,"ZCTA5 75025",43
"ZCTA5 75028",25958,15186,2203,5889,1049,1631,333,3705,5797,2164,14150,6236,32052,20386,25958,73,808,2335,1018,2625,1676,943,3132,4426,4948,1913,1038,1023,"ZCTA5 75028",48
"ZCTA5 75032",18671,9671,2421,4403,874,1302,636,4364,4671,1886,7079,4497,22497,11576,18671,184,1167,1534,348,2367,1058,412,1308,3006,4651,893,837,906,"ZCTA5 75032",21
"ZCTA5 75033",23973,14744,2189,5354,520,1166,524,2644,4636,2032,12041,6013,27366,18054,23973,120,1271,1435,859,2495,697,1063,3208,5442,3897,2195,905,386,"ZCTA5 75033",37
"ZCTA5 75034",28271,17183,2527,6382,823,1356,724,3571,4600,2287,12181,9270,31909,21451,28271,198,1107,2036,989,2783,1588,949,4013,6230,5402,1534,1240,202,"ZCTA5 75034",50
"ZCTA5 75035",43462,29838,3407,7246,1197,1774,980,4877,7112,3701,20079,15127,50896,35206,43462,435,1241,2980,1411,4251,1581,1616,7325,9624,7741,2985,1494,778,"ZCTA5 75035",51
"ZCTA5 75036",15239,9237,1374,3281,500,847,171,3067,2934,1193,8182,5724,21100,13906,15239,87,548,1004,424,2227,590,503,2564,2904,2587,1007,529,265,"ZCTA5 75036",37
"ZCTA5 75038",19091,8138,2291,4346,1069,3247,860,4269,4497,1910,6089,3866,20631,9955,19091,27,842,1438,601,1888,2240,702,2415,3697,2940,1443,484,374,"ZCTA5 75038",19
"ZCTA5 75039",14696,10021,991,2837,184,663,68,1024,1839,1041,7041,5938,16883,12979,14696,65,245,1005,522,1102,1033,442,2601,3763,2354,792,364,408,"ZCTA5 75039",28
"ZCTA5 75040",31886,8637,6146,7214,5264,4625,5576,10119,8495,3238,5667,3131,30650,8798,31886,156,4592,3646,637,3529,1562,666,2360,3708,5289,2437,2633,671,"ZCTA5 75040",24
"ZCTA5 75041",15402,2383,3156,3368,3616,2879,3130,5163,3547,1009,1889,635,12243,2524,15402,34,3540,1367,317,1659,881,161,1001,1749,2011,1513,958,211,"ZCTA5 75041",1
"ZCTA5 75042",18408,4095,4057,3730,2844,3682,4149,5922,4545,1382,2626,1310,15785,3936,18408,21,2594,2182,472,2371,1068,207,1056,1853,2530,2138,1738,178,"ZCTA5 75042",17
"ZCTA5 75043",32322,10424,5768,7326,4492,4312,3532,10073,10475,4059,6058,3462,34127,9520,32322,82,3741,2312,1143,4616,1983,402,2456,3681,5896,3205,1934,871,"ZCTA5 75043",24
"ZCTA5 75044",24905,10696,4520,5694,1584,2411,1545,6985,6589,2449,8070,4405,28498,12475,24905,109,1176,3036,532,2587,937,449,2909,3783,4877,2319,1636,555,"ZCTA5 75044",20
"ZCTA5 75048",15625,7855,2140,3415,640,1575,579,4048,4400,1434,5415,2924,18221,8339,15625,158,876,1707,370,1199,796,380,1355,2274,3651,1232,1095,532,"ZCTA5 75048",29
