ZIPCODE,OCCU_16_Year,OCCU_MBSAO,OCCU_SEV,OCCU_SA_OF,OCCU_NAT,OCCU_PRO,LESS_9TH,HIGH_GRAD,COLLE_NO_DEG,ACC_DEG,BACHE_DEG,GRAD_PRO,HIGH_GRAD_HIGHER,BACH_HIGH,INDUS_CIVIL,INDUS_AGRI,INDUS_CONST,INDUS_MANU,INDUS_WHOLE_SALE,INDUS_RETAIL,INDUS_TRANS,INDUS_INFO,INDUS_FIN,INDUS_PROF,INDUS_EDU,INDUS_ARTS,INDUS_OTHER,INDUS_PUBLIC_ADMIN,total_ev_count,OCC_HOUSING_UNITS,OWNER_OCC,RENTER_OCC,AVG_HHSZ_OWNER,AVG_HHSZ_RENTER,NO_VEHICLES,ONE_VEHICLE,TWO_VEHICLES,THREE_OM_VEHICLES,TOTAL_POPULTN,TP_MALE,TP_FEMALE,TP_SEX_RATIO,TP_5Y_UND,TP_5Y_9Y,TP_10Y_14Y,TP_15Y_19Y,TP_20Y_24Y,TP_25Y_34Y,TP_35Y_44Y,TP_45Y_54Y,TP_55Y_59Y,TP_60Y_64Y,TP_65Y_74Y,TP_75Y_84Y,TP_84Y_OVR,TP_MED_AGE,TP_18Y_UND,TP_16Y_OVR,TP_18Y_OVR,TP_21Y_OVR,TP_62Y_OVR,TP_65Y_OVR,TP_18YM_OVR,TP_18YF_OVR,TP_18Y_OVR_SXRATIO,TP_65Y_OVR_[0],TP_65YM_OVR,TP_65YF_OVR,TP_65Y_OVR_SXRATIO,RACE_TOT_1RACE,RACE_TOT_2+RACE,RACE_1WHITE_TOTAL,RACE_1BLACK_TOTAL,RACE_1AI_AN_TOTAL,RACE_1AI_AN_Cherokee,RACE_1AI_AN_Chippewa,RACE_1AI_AN_Navajo,RACE_1AI_AN_Sioux,RACE_1ASIAN_TOTAL,RACE_1ASIAN_AsianIndian,RACE_1ASIAN_Chinese,RACE_1ASIAN_Filipino,RACE_1ASIAN_Japanese,RACE_1ASIAN_Korean,RACE_1ASIAN_Vietnamese,RACE_1ASIAN_OtherAsian,RACE_1NHPI_TOTAL,RACE_1NHPI_Chamorro,RACE_1NHPI_NativeHawaiian,RACE_1NHPI_Samoan,RACE_1NHPI_Other,RACE_1OTHER_TOTAL,RACE_2+_WHITE-BLACK,RACE_2+_WHITE-AI_AN,RACE_2+_WHITE-ASIAN,RACE_2+_WHITE-OTHER,RACE_2+_BLACK-AI_AN,RACE_2+_BLACK-OTHER,ETHN_HISP-LAT_TOTAL,ETHN_HISP-LAT_Mexican,ETHN_HISP-LAT_PuertoRican,ETHN_HISP-LAT_Cuban,ETHN_HISP-LAT_Other,ETHN_NOT-HISP-LAT_TOTAL,ETHN_NOT-HISP-LAT_White,ETHN_NOT-HISP-LAT_Black,ETHN_NOT-HISP-LAT_AI_AN,ETHN_NOT-HISP-LAT_Asian,ETHN_NOT-HISP-LAT_NHPI,ETHN_NOT-HISP-LAT_1Other,ETHN_NOT-HISP-LAT_2+Other,LATINO AND RACE_1TWO OR MORE RACES_Two races including Some Other Race,"LATINO AND RACE_1TWO OR MORE RACES_Two races excluding Some Other Race, and three or more races"
ZCTA5 73949,714,301,69,104,127,113,83,320,159,22,280,37,818,317,714,175,52,60,17,73,34,0,14,17,169,36,33,34,0,477,371,106,3.32,2.2,15,82,209,171,1463,664,799,83.1,126,89,95,109,111,150,167,187,94,69,116,81,69,39.6,372,1139,1091,972,296,266,518,573,90.4,266,126,140,90,1263,200,1115,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,5,0,190,0,5,463,457,6,0,0,1000,968,0,18,0,0,0,14,9,5
ZCTA5 73960,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,INSUFF_DATA,INSUFF_DATA,0,7,0,0,7,7,0,UNDEFINED,0,0,0,0,0,0,0,0,0,0,7,0,0,CANNOT_DETERMINE,0,7,7,7,7,7,7,0,UNDEFINED,7,7,0,UNDEFINED,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0
ZCTA5 75001,11749,6168,1276,3003,488,814,154,1370,2727,810,4875,2629,12411,7504,11749,71,579,754,533,1144,890,267,1640,2625,1727,991,334,194,29,9355,1449,7906,1.75,1.78,262,5524,3049,520,16633,8356,8277,101,736,491,474,430,1497,5112,2850,2125,698,700,1191,240,89,33.8,1908,14872,14725,14327,2004,1520,7380,7345,100.5,1520,598,922,64.9,14706,1927,9243,2949,101,9,0,57,2,1226,546,144,68,48,186,135,99,0,0,0,0,0,1187,278,88,152,1128,9,11,4523,2343,92,267,1821,12110,7116,2927,68,1207,0,101,691,56,635
ZCTA5 75002,36013,19799,4014,7547,1753,2900,1038,7041,9366,3849,16165,7942,44363,24107,36013,226,2064,3713,717,4385,1284,1329,3979,5942,7209,2413,1739,1013,47,22731,17980,4751,3.28,2.82,353,4409,10859,7110,72679,37373,35306,105.9,4021,5340,5932,6056,4647,7414,8981,12537,5857,4004,5095,2101,694,38.8,18934,56113,53745,50455,9895,7890,27192,26553,102.4,7890,3571,4319,82.7,65273,7406,45714,9462,504,103,0,53,0,7663,2847,1812,632,28,159,613,1572,0,0,0,0,0,1930,1536,675,1066,3365,0,19,9392,5916,413,85,2978,63287,41211,9346,104,7492,0,428,4706,1229,3477
ZCTA5 75006,27304,9667,4428,6079,3043,4087,3240,8072,6695,1826,7733,3192,27518,10925,27304,132,2729,2577,1033,2737,1978,718,2496,3610,4573,2344,1759,618,16,18491,9564,8927,2.76,2.39,568,6576,7831,3516,48062,24293,23769,102.2,2926,2954,2968,2968,3260,7637,7284,6184,2803,2459,3896,2191,532,36.2,10738,38515,37324,35670,7962,6619,18682,18642,100.2,6619,3027,3592,84.3,41948,6114,31228,4361,112,6,0,0,0,3409,520,433,133,31,1024,772,496,2,0,2,0,0,2836,450,223,279,4773,0,36,23200,17993,281,387,4539,24862,15889,4348,25,3380,2,136,1082,176,906
ZCTA5 75007,32491,14860,5041,7114,2132,3344,1870,7485,8672,3090,12001,5288,36536,17289,32491,175,2275,2705,860,4242,1567,476,3425,5313,5995,2769,1866,823,33,20170,13807,6363,2.76,2.53,1001,5066,8693,5410,54498,27295,27203,100.3,2124,2057,3268,3753,3291,7559,8187,8087,4725,4066,4772,2227,382,40.6,9822,46340,44676,42809,9628,7381,22270,22406,99.4,7381,3444,3937,87.5,46429,8069,30318,4460,281,21,0,9,0,8755,2856,663,273,30,1649,1352,1932,408,0,375,33,0,2207,738,350,333,5784,76,69,14992,11017,287,779,2909,39506,23791,4429,57,8690,408,329,1802,261,1541
ZCTA5 75009,13433,6477,1931,3038,1404,583,608,2956,3742,1583,6690,2233,17204,8923,13433,166,1409,992,421,1629,427,242,1420,2399,2032,1186,594,516,36,8507,7692,815,3.22,3.94,52,1035,3561,3859,28109,15008,13101,114.6,1802,2327,2509,2346,1056,3130,5725,2902,1238,1335,2754,901,84,37.1,8393,20895,19716,18699,4072,3739,10643,9073,117.3,3739,1886,1853,101.8,24693,3416,21012,1554,183,75,0,0,0,1528,511,612,366,0,0,0,39,61,0,0,0,61,355,623,139,602,1723,0,0,4671,3784,216,76,595,23438,18351,1442,183,1528,61,43,1830,258,1572
ZCTA5 75010,19280,10024,1841,4917,950,1548,688,3164,4565,1848,8045,4012,21634,12057,19280,59,954,1743,496,2083,1023,540,2468,3465,4029,1263,955,202,38,12616,6157,6459,2.96,2.05,283,4424,5546,2363,31609,14750,16859,87.5,1831,1373,1962,1716,1767,5676,5035,5154,2181,1680,1928,653,653,38.1,6209,26220,25400,24357,4252,3234,11449,13951,82.1,3234,1323,1911,69.2,29565,2044,14963,4988,121,5,0,50,0,8497,2355,348,282,21,2039,794,2658,39,0,0,0,39,957,290,85,211,1274,45,44,4674,3273,108,103,1190,26935,12475,4940,86,8490,39,55,850,155,695
ZCTA5 75013,25886,15607,3361,4538,863,1517,393,3112,5589,1663,10514,9018,29896,19532,25886,112,1119,2243,842,2441,844,964,3191,4935,4045,2978,1538,634,34,16562,10797,5765,3.16,2.16,444,4255,8122,3741,46649,23398,23251,100.6,1973,3836,4156,3431,2155,5034,7725,8113,3471,2098,2707,1607,343,38.6,11953,36020,34696,32866,5891,4657,17453,17243,101.2,4657,2146,2511,85.5,43952,2697,25684,3326,14,14,0,0,0,13920,4490,3690,156,372,1064,1967,2181,11,0,11,0,0,997,187,79,370,1524,23,21,4276,2727,237,30,1282,42373,23247,3326,14,13912,11,427,1436,404,1032
ZCTA5 75019,24985,16186,1882,5100,602,1215,462,2591,4071,1508,11443,9613,29226,21056,24985,180,952,1748,1076,2301,1476,657,3350,5190,4659,1752,995,649,37,16923,11058,5865,2.87,2.2,330,4862,8410,3321,44706,22505,22201,101.4,2707,3378,3874,3138,1609,4853,7478,7522,2993,2926,3009,960,259,38.9,12248,34092,32458,31414,5748,4228,16090,16368,98.3,4228,1989,2239,88.8,41646,3060,24246,2387,171,6,0,0,0,13956,9021,1462,181,875,703,486,1228,59,0,6,53,0,827,277,140,426,1687,20,42,6257,4140,412,29,1676,38449,20635,2367,13,13942,59,114,1319,263,1056
